supplier_id,part_id,supplier_name,location,delivery_times,contact_info
SP0055,P00664,"Davis, Greene and Graham",Snyderside,2 days,(461)515-8330
SP0056,P00615,Johnson-Harris,North Markfurt,5 days,425-940-3022
SP0057,P00515,Calderon LLC,Moorebury,5 days,+1-891-358-1777
SP0058,P00961,Johnson-Macdonald,Tylerport,3 days,516.615.6167x37272
SP0059,P00045,Stark-Bailey,Rileyhaven,9 days,(369)315-4712
SP0060,P00911,"Austin, Le and Thornton",West Evan,12 days,467-426-2522x24198
SP0061,P00124,"Gomez, Brewer and Poole",Jamietown,5 days,001-906-238-5636x5982
SP0062,P00541,Rosales-Knight,South Mark,8 days,+1-656-957-7050x936
SP0063,P00080,Martin PLC,West Melvin,12 days,858.620.5691x8469
SP0064,P00796,Gilbert LLC,North Sabrinaland,2 days,+1-663-205-1319
SP0065,P00174,Harmon Group,Kellerberg,14 days,8282262659
SP0066,P00350,"Johnson, Anderson and Blackwell",Kennethhaven,14 days,+1-832-445-1640
SP0067,P00702,"Bradford, Nelson and Melton",Ashleymouth,4 days,(908)322-9365x81603
SP0068,P00665,Hamilton and Sons,Port Brenda,3 days,249-694-9072x63839
SP0069,P00139,"Smith, Thompson and Harrell",Port Crystalstad,6 days,(778)607-8252x259
SP0070,P00862,"Garcia, Henderson and Mercado",Harrisview,11 days,662-204-2106x75904
SP0071,P00796,"Frey, Klein and Snyder",Brownview,2 days,001-342-682-6008
SP0072,P00396,Clayton-Robbins,Lake Tracifort,14 days,916-927-6585x1076
SP0073,P00880,"Velasquez, Griffith and Armstrong",Lake Jamesbury,6 days,+1-822-785-4656x448
SP0074,P00343,Carroll-Peterson,West Rebecca,3 days,762-648-2908x27625
SP0075,P00411,Munoz-Duncan,Port Madeline,5 days,(406)977-4256
SP0076,P00805,Ramsey-Jensen,Davidtown,13 days,542.436.7477
SP0077,P00848,"Hansen, Molina and Adkins",Port Loriberg,14 days,(215)534-9975
SP0078,P00278,Rivera Inc,North Ashley,11 days,957.425.3240x20503
SP0079,P00417,Andrews-Marshall,Lake Ryanshire,7 days,(755)212-8467x10715
SP0080,P00385,"Holmes, Holloway and Wise",Alexanderville,9 days,460.360.8073x510
SP0081,P00186,"Moss, George and Ward",Crawfordchester,3 days,(308)980-7103x43822
SP0082,P00486,Shaffer Inc,Waremouth,8 days,316.924.0827x163
SP0083,P00972,Crosby-Golden,Port Christopher,4 days,649.384.9582x1348
SP0084,P00630,Bright-Roberts,Port Erin,7 days,001-427-813-6573
SP0085,P00770,"Duncan, Moreno and Jones",Mataside,3 days,6627806367
SP0086,P00439,"Watson, Boyd and Hill",Wandatown,4 days,978.797.3069x19361
SP0087,P00060,Warren and Sons,Port Brian,12 days,+1-843-337-7730
SP0088,P00271,"Jones, Johnson and Patrick",Christopherville,6 days,+1-528-968-6878
SP0089,P00069,Dunn LLC,North Rachel,11 days,985-658-7924
SP0090,P00808,Walker and Sons,East Leviport,11 days,(803)619-6333x8227
SP0091,P00993,Shepherd-Lindsey,Williamsmouth,6 days,600.220.4266x8882
SP0092,P00830,Mendez-Caldwell,Port Cynthia,6 days,(754)528-4243
SP0093,P00512,"Gray, Hernandez and Campbell",South Melissa,14 days,3366423699
SP0094,P00546,"Fisher, Joyce and Parsons",Watsonshire,5 days,001-605-701-0006
SP0095,P00958,Dickerson LLC,Marilynburgh,5 days,+1-804-714-2874x616
SP0096,P00807,Wilson-Mueller,Port Emily,11 days,528-493-6758x0583
SP0097,P00332,Johns-Villanueva,South Josebury,3 days,(882)682-7908x469
SP0098,P00616,Phillips and Sons,Fordshire,3 days,216.206.9676x12146
SP0099,P00482,Espinoza-Coleman,Mullinsburgh,10 days,954-268-0544
SP0100,P00244,Austin LLC,North Robertside,5 days,815.438.1182
SP0101,P00410,"Morgan, Bailey and Davis",Richardchester,12 days,860-273-8816x99546
SP0102,P00263,Harvey Group,East Cathy,8 days,417-758-9626
SP0103,P00432,Ferrell-Ross,Lake Kevin,7 days,610-898-4938
SP0104,P00611,Juarez-Bird,Connieland,3 days,(536)735-1611
SP0105,P00381,Anderson-Harris,North Cherylside,4 days,001-953-329-4149x9297
SP0106,P00831,"Simpson, Russell and Ward",Sallyport,9 days,+1-773-748-1398x81391
SP0107,P00660,Cox LLC,South Joseph,2 days,001-575-993-8450x88114
SP0108,P00976,"Jones, Burton and Miller",Carlaview,2 days,266.555.4790x207
SP0109,P00473,Koch-Evans,Lake Stephanie,9 days,+1-827-697-6967
SP0110,P00169,Rodriguez-Johnson,Carlsonview,9 days,395.323.6933x8751
SP0111,P00974,Baker PLC,New Jeffrey,13 days,306-303-0503x6308
SP0112,P00346,"Leonard, Snyder and Whitaker",Garrisonbury,8 days,(600)503-4219x8822
SP0113,P00541,Mann Inc,Richardfurt,2 days,386.775.7068
SP0114,P00675,Taylor Group,Andrewchester,9 days,+1-845-693-2269
SP0115,P00596,"Bates, Best and Miller",Richardfurt,13 days,734-246-7692
SP0116,P00901,Fernandez-Garcia,Port Billy,7 days,222-971-1221
SP0117,P00928,"Moody, Tucker and Anderson",New Christineside,6 days,410.792.5972
SP0118,P00105,Martinez-Bryant,Joshuahaven,13 days,001-428-740-5805x46695
SP0119,P00028,"James, Page and Young",East Danachester,12 days,(905)690-8173
SP0120,P00294,Nguyen-Randall,South Samuelfort,8 days,347-978-3507x4825
SP0121,P00979,Diaz and Sons,Lake Mark,3 days,669-458-4244
SP0122,P00565,Ali-Nguyen,Janetburgh,3 days,(683)396-3050x889
SP0123,P00133,Smith-Cochran,New Gabrielle,2 days,001-388-809-7547x4014
SP0124,P00997,"Young, King and Allen",Phillipschester,3 days,978-665-2930
SP0125,P00987,Norman-Melendez,Ericport,6 days,872.687.7617x6709
SP0126,P00351,Lambert PLC,Port Richard,5 days,+1-791-499-1616x343
SP0127,P00395,Mueller-Shields,New Michelle,1 days,(997)353-2654x0368
SP0128,P01000,Park Group,Port Jakeberg,14 days,557.690.6931x268
SP0129,P00807,Martin Inc,South Jefferyview,11 days,+1-218-207-0387
SP0130,P00912,"Moore, Barrera and Williams",East Davidhaven,4 days,001-412-207-4364x369
SP0131,P00210,Thomas-Lopez,South Matthew,5 days,+1-772-948-5210x6956
SP0132,P00574,Parker-Haynes,Amandaton,1 days,(376)454-0659x75220
SP0133,P00203,Wright Inc,North Beth,4 days,(817)912-3024x729
SP0134,P00569,"Sanders, Hancock and Hernandez",Smithbury,4 days,001-226-734-7409x31858
SP0135,P00196,"Browning, Wilson and Miller",Jonesside,6 days,759-285-7259x50272
SP0136,P00899,Gomez-Jackson,Port Amberbury,13 days,(240)755-6995x5896
SP0137,P00265,"Webb, Martin and Barry",Port Zacharytown,11 days,+1-949-555-2729x256
SP0138,P00992,"Hughes, Smith and Rasmussen",New Davidbury,14 days,001-430-840-2269x86344
SP0139,P00307,Fleming-Davis,Newmanton,3 days,+1-276-899-3533
SP0140,P00687,Newton-Dillon,South Traciefort,9 days,235.301.6495
SP0141,P00949,Robinson LLC,Donaldsonton,3 days,875.745.0363x438
SP0142,P00685,Bennett-Smith,Michelleton,1 days,485-994-4746x191
SP0143,P00695,Lucas-Hernandez,Lake Paul,14 days,(979)835-2416x265
SP0144,P00320,Perez-Wilson,West Teresaside,6 days,001-815-491-3663x641
SP0145,P00698,Manning PLC,Timothystad,2 days,673.747.9819
SP0146,P00864,Hayden-Austin,South Michelle,11 days,843-650-9806x80715
SP0147,P00047,"Gonzalez, Brown and Kelly",East Jasonville,4 days,2107762068
SP0148,P00638,Mullins-Adams,Shepherdside,10 days,8153242610
SP0149,P00248,"Hubbard, Elliott and Sweeney",Lake Mike,12 days,7672120061
SP0150,P00712,Bell-Johnson,Richardstad,12 days,001-849-564-8273x592
SP0151,P00344,Williams-Stokes,Rebeccaberg,13 days,001-428-895-9491x21148
SP0152,P00432,Short-Cunningham,West Joseph,12 days,001-631-386-4195x6029
SP0153,P00523,Ramos Inc,New Laurenfort,7 days,5889666727
SP0154,P00774,Bryant-Carpenter,Lake Michele,3 days,+1-966-263-2772
SP0155,P00056,Frank PLC,Gibsonview,14 days,+1-637-751-2587x8603
SP0156,P00143,Morales Group,Josephburgh,1 days,+1-392-973-8360x323
SP0157,P00646,"Hunt, Turner and Lewis",Harperview,10 days,001-624-241-5385x1938
SP0158,P00525,Anderson-Smith,East Territon,6 days,001-458-213-1418x429
SP0159,P00833,"Adkins, Williamson and Smith",Hubermouth,9 days,255.226.8853x12122
SP0160,P00988,"Green, Burgess and Davis",South Melissaborough,14 days,339.224.7916x61858
SP0161,P00846,Meyer LLC,Michellestad,3 days,+1-926-844-0044x657
SP0162,P00120,Robinson-Dickerson,Johnchester,7 days,493-437-9324x416
SP0163,P00175,"Morse, Salas and Dean",Nicholaston,1 days,433-628-7205
SP0164,P00623,Morgan Group,East Breannaland,3 days,+1-238-933-9909x9694
SP0165,P00070,"Evans, Beasley and Bender",Stephanieside,14 days,351-986-5455
SP0166,P00754,Patel Inc,Makaylaberg,3 days,(467)696-7904
SP0167,P00198,Gray-Johnson,East Tiffany,10 days,563-563-7406x89951
SP0168,P00875,Walker Group,Patriciaborough,13 days,341-797-9895x87445
SP0169,P00904,Johnson LLC,Natalieside,4 days,865.656.2794x98312
SP0170,P00621,Hernandez LLC,Kayleeland,5 days,001-509-214-4800x727
SP0171,P00624,Fernandez-White,Anitafurt,9 days,708-273-5274
SP0172,P00029,"Ward, Gonzalez and Ritter",West Stanley,10 days,001-733-686-3396
SP0173,P00770,Douglas-Maldonado,Port Timothyburgh,6 days,+1-256-699-1288x0564
SP0174,P00704,"Holloway, Rosario and Bullock",Robertstown,2 days,001-210-425-1480x910
SP0175,P00341,Cooper-Williams,Lake Heatherside,8 days,3746268230
SP0176,P00642,Noble PLC,South Ryan,11 days,+1-892-724-3114x96098
SP0177,P00692,Dixon-Park,West Christinamouth,4 days,(747)805-8593x8331
SP0178,P00043,Villarreal-Baker,Kempburgh,3 days,+1-601-296-1284
SP0179,P00360,Hughes-Anthony,Yeseniahaven,9 days,(292)951-3389
SP0180,P00835,Cervantes LLC,Jillborough,3 days,923.264.5178x65707
SP0181,P00590,Robertson Ltd,West Scott,3 days,(668)388-9509x218
SP0182,P00753,Fernandez-Gonzalez,Thomastown,8 days,8807017410
SP0183,P00947,"Murray, Barnes and Fuller",Sparksland,4 days,254-975-9677x6361
SP0184,P00881,Hayes-Romero,Lewisborough,7 days,+1-210-586-3807
SP0185,P00972,Willis-Wilson,New Dennis,9 days,511.518.6637
SP0186,P00593,"Schmidt, Stevens and Pierce",Whiteberg,5 days,4603420287
SP0187,P00386,Jacobs-Thomas,New Janicebury,5 days,+1-423-944-5044x34680
SP0188,P00053,Gillespie Ltd,South Williamland,13 days,827.330.1270
SP0189,P00581,Guzman-Berry,North William,3 days,(793)802-5544
SP0190,P00777,"Morrow, Conway and Thompson",Port Rebecca,3 days,9435073571
SP0191,P00835,Rush-Martin,Collinsberg,8 days,001-563-826-3146x634
SP0192,P00491,Tran-Grant,North Patricia,10 days,001-896-983-3138x567
SP0193,P00944,Hanson Ltd,South Candiceland,9 days,920-944-3563x142
SP0194,P00425,Smith-Mitchell,Marshalltown,1 days,233.666.9684
SP0195,P00687,"Nguyen, Sanders and Jensen",New Nicoleburgh,7 days,346-754-3766x526
SP0196,P00425,"Boyd, Jordan and Klein",Port Andreshire,1 days,709-387-5394
SP0197,P00269,Wall LLC,Ayersland,6 days,419-366-4126x379
SP0198,P00063,Jones and Sons,Melissaton,5 days,001-236-451-3503
SP0199,P00400,"Williams, Jenkins and Moody",West Desiree,8 days,456-847-3197x366
SP0200,P00528,Garcia Inc,Port Amybury,1 days,997.958.6915
